nb_clus,nb_solos,nb_anomalies,percent1,percent2,percent3
1,0,0,100.0,0.0,50.0
2,0,0,100.0,0.0,50.0
3,0,0,100.0,0.0,50.0
4,0,0,100.0,0.0,50.0
5,0,0,100.0,0.0,50.0
6,0,0,100.0,0.0,50.0
7,0,0,100.0,0.0,50.0
8,1,1,100.0,25.0,62.5
9,1,1,100.0,25.0,62.5
10,1,1,100.0,25.0,62.5
11,1,1,100.0,25.0,62.5
12,1,1,100.0,25.0,62.5
13,1,1,100.0,25.0,62.5
14,2,2,100.0,50.0,75.0
15,2,2,100.0,50.0,75.0
16,2,2,100.0,50.0,75.0
17,2,2,100.0,50.0,75.0
18,2,2,100.0,50.0,75.0
19,2,2,100.0,50.0,75.0
20,2,2,100.0,50.0,75.0
21,2,2,100.0,50.0,75.0
22,2,2,100.0,50.0,75.0
23,3,3,100.0,75.0,87.5
24,3,3,100.0,75.0,87.5
25,3,3,100.0,75.0,87.5
26,3,3,100.0,75.0,87.5
27,3,3,100.0,75.0,87.5
28,3,3,100.0,75.0,87.5
29,3,3,100.0,75.0,87.5
30,3,3,100.0,75.0,87.5
31,3,3,100.0,75.0,87.5
32,3,3,100.0,75.0,87.5
33,3,3,100.0,75.0,87.5
34,3,3,100.0,75.0,87.5
35,3,3,100.0,75.0,87.5
36,3,3,100.0,75.0,87.5
37,3,3,100.0,75.0,87.5
38,4,3,75.0,75.0,75.0
39,4,3,75.0,75.0,75.0
40,4,3,75.0,75.0,75.0
41,4,3,75.0,75.0,75.0
42,4,3,75.0,75.0,75.0
43,4,3,75.0,75.0,75.0
44,4,3,75.0,75.0,75.0
45,4,3,75.0,75.0,75.0
46,4,3,75.0,75.0,75.0
47,4,3,75.0,75.0,75.0
48,5,3,60.0,75.0,67.5
49,5,3,60.0,75.0,67.5
50,5,3,60.0,75.0,67.5
51,5,3,60.0,75.0,67.5
52,5,3,60.0,75.0,67.5
53,5,3,60.0,75.0,67.5
54,6,3,50.0,75.0,62.5
55,6,3,50.0,75.0,62.5
56,6,3,50.0,75.0,62.5
57,6,3,50.0,75.0,62.5
58,7,3,42.857142857142854,75.0,58.92857142857143
59,7,3,42.857142857142854,75.0,58.92857142857143
60,7,3,42.857142857142854,75.0,58.92857142857143
61,7,3,42.857142857142854,75.0,58.92857142857143
62,7,3,42.857142857142854,75.0,58.92857142857143
63,7,3,42.857142857142854,75.0,58.92857142857143
64,7,3,42.857142857142854,75.0,58.92857142857143
65,8,3,37.5,75.0,56.25
66,8,3,37.5,75.0,56.25
67,8,3,37.5,75.0,56.25
68,8,3,37.5,75.0,56.25
69,8,3,37.5,75.0,56.25
70,8,3,37.5,75.0,56.25
71,9,3,33.333333333333336,75.0,54.16666666666667
72,9,3,33.333333333333336,75.0,54.16666666666667
73,10,3,30.0,75.0,52.5
74,10,3,30.0,75.0,52.5
75,10,3,30.0,75.0,52.5
76,10,3,30.0,75.0,52.5
77,10,3,30.0,75.0,52.5
78,10,3,30.0,75.0,52.5
79,10,3,30.0,75.0,52.5
80,10,3,30.0,75.0,52.5
81,11,3,27.272727272727273,75.0,51.13636363636364
82,12,3,25.0,75.0,50.0
83,12,3,25.0,75.0,50.0
84,13,3,23.076923076923077,75.0,49.03846153846154
85,14,4,28.571428571428573,100.0,64.28571428571429
