nb_clus,nb_solos,nb_anomalies,percent1,percent2,percent3
1,0,0,100.0,0.0,50.0
2,0,0,100.0,0.0,50.0
3,0,0,100.0,0.0,50.0
4,0,0,100.0,0.0,50.0
5,0,0,100.0,0.0,50.0
6,0,0,100.0,0.0,50.0
7,0,0,100.0,0.0,50.0
8,1,1,100.0,20.0,60.0
9,1,1,100.0,20.0,60.0
10,1,1,100.0,20.0,60.0
11,2,2,100.0,40.0,70.0
12,2,2,100.0,40.0,70.0
13,2,2,100.0,40.0,70.0
14,2,2,100.0,40.0,70.0
15,2,2,100.0,40.0,70.0
16,2,2,100.0,40.0,70.0
17,2,2,100.0,40.0,70.0
18,2,2,100.0,40.0,70.0
19,2,2,100.0,40.0,70.0
20,2,2,100.0,40.0,70.0
21,4,4,100.0,80.0,90.0
22,4,4,100.0,80.0,90.0
23,4,4,100.0,80.0,90.0
24,4,4,100.0,80.0,90.0
25,4,4,100.0,80.0,90.0
26,4,4,100.0,80.0,90.0
27,4,4,100.0,80.0,90.0
28,4,4,100.0,80.0,90.0
29,4,4,100.0,80.0,90.0
30,4,4,100.0,80.0,90.0
31,4,4,100.0,80.0,90.0
32,4,4,100.0,80.0,90.0
33,4,4,100.0,80.0,90.0
34,4,4,100.0,80.0,90.0
35,4,4,100.0,80.0,90.0
36,4,4,100.0,80.0,90.0
37,4,4,100.0,80.0,90.0
38,4,4,100.0,80.0,90.0
39,4,4,100.0,80.0,90.0
40,4,4,100.0,80.0,90.0
41,4,4,100.0,80.0,90.0
42,4,4,100.0,80.0,90.0
43,4,4,100.0,80.0,90.0
44,4,4,100.0,80.0,90.0
45,4,4,100.0,80.0,90.0
46,4,4,100.0,80.0,90.0
47,5,4,80.0,80.0,80.0
48,5,4,80.0,80.0,80.0
49,6,4,66.66666666666667,80.0,73.33333333333334
50,6,4,66.66666666666667,80.0,73.33333333333334
51,6,4,66.66666666666667,80.0,73.33333333333334
52,6,4,66.66666666666667,80.0,73.33333333333334
53,6,4,66.66666666666667,80.0,73.33333333333334
54,6,4,66.66666666666667,80.0,73.33333333333334
55,6,4,66.66666666666667,80.0,73.33333333333334
56,8,4,50.0,80.0,65.0
57,8,4,50.0,80.0,65.0
58,8,4,50.0,80.0,65.0
59,8,4,50.0,80.0,65.0
60,8,4,50.0,80.0,65.0
61,8,4,50.0,80.0,65.0
62,9,4,44.44444444444444,80.0,62.22222222222222
63,9,4,44.44444444444444,80.0,62.22222222222222
64,9,4,44.44444444444444,80.0,62.22222222222222
65,9,4,44.44444444444444,80.0,62.22222222222222
66,9,4,44.44444444444444,80.0,62.22222222222222
67,9,4,44.44444444444444,80.0,62.22222222222222
68,9,4,44.44444444444444,80.0,62.22222222222222
69,9,4,44.44444444444444,80.0,62.22222222222222
70,9,4,44.44444444444444,80.0,62.22222222222222
71,9,4,44.44444444444444,80.0,62.22222222222222
72,9,4,44.44444444444444,80.0,62.22222222222222
73,9,4,44.44444444444444,80.0,62.22222222222222
74,9,4,44.44444444444444,80.0,62.22222222222222
75,10,4,40.0,80.0,60.0
76,10,4,40.0,80.0,60.0
77,10,4,40.0,80.0,60.0
78,10,4,40.0,80.0,60.0
79,10,4,40.0,80.0,60.0
80,10,4,40.0,80.0,60.0
81,10,4,40.0,80.0,60.0
82,10,4,40.0,80.0,60.0
83,10,4,40.0,80.0,60.0
84,10,4,40.0,80.0,60.0
85,10,4,40.0,80.0,60.0
86,10,4,40.0,80.0,60.0
87,10,4,40.0,80.0,60.0
88,10,4,40.0,80.0,60.0
89,10,4,40.0,80.0,60.0
90,10,4,40.0,80.0,60.0
91,10,4,40.0,80.0,60.0
92,10,4,40.0,80.0,60.0
93,10,4,40.0,80.0,60.0
94,10,4,40.0,80.0,60.0
95,10,4,40.0,80.0,60.0
96,10,4,40.0,80.0,60.0
97,10,4,40.0,80.0,60.0
98,10,4,40.0,80.0,60.0
99,10,4,40.0,80.0,60.0
100,10,4,40.0,80.0,60.0
101,10,4,40.0,80.0,60.0
102,10,4,40.0,80.0,60.0
103,10,4,40.0,80.0,60.0
104,10,4,40.0,80.0,60.0
105,10,4,40.0,80.0,60.0
106,10,4,40.0,80.0,60.0
107,10,4,40.0,80.0,60.0
108,12,4,33.333333333333336,80.0,56.66666666666667
109,13,4,30.76923076923077,80.0,55.38461538461539
110,13,4,30.76923076923077,80.0,55.38461538461539
111,13,4,30.76923076923077,80.0,55.38461538461539
112,13,4,30.76923076923077,80.0,55.38461538461539
113,14,4,28.571428571428573,80.0,54.285714285714285
114,14,4,28.571428571428573,80.0,54.285714285714285
115,14,4,28.571428571428573,80.0,54.285714285714285
116,14,4,28.571428571428573,80.0,54.285714285714285
117,14,4,28.571428571428573,80.0,54.285714285714285
118,14,4,28.571428571428573,80.0,54.285714285714285
119,14,4,28.571428571428573,80.0,54.285714285714285
120,14,4,28.571428571428573,80.0,54.285714285714285
121,15,4,26.666666666666668,80.0,53.333333333333336
122,15,4,26.666666666666668,80.0,53.333333333333336
123,15,4,26.666666666666668,80.0,53.333333333333336
124,16,5,31.25,100.0,65.625
