section,item,paper,obtained,status,note
3 anomalies,male best_range,"[21, 46]","[21, 46]",ok,
3 anomalies,male isolated_are_anomalies_pct,100.0,100.0,ok,
3 anomalies,male anomalies_detected_pct,80.0,80.0,ok,
3 anomalies,male criterion_pct,90.0,90.0,ok,
3 anomalies,male detected,SPRING2277 SPRING2882 SPRING2962 SPRING4624,SPRING2277 SPRING2882 SPRING2962 SPRING4624,ok,
3 anomalies,female best_range,"[23, 37]","[23, 37]",ok,
3 anomalies,female isolated_are_anomalies_pct,100.0,100.0,ok,
3 anomalies,female anomalies_detected_pct,75.0,75.0,ok,
3 anomalies,female criterion_pct,87.5,87.5,ok,
3 anomalies,female detected,SPRING1212 SPRING2825 SPRING2997,SPRING1212 SPRING2825 SPRING2997,ok,
4 GDI,table1 body complete,0.2,0.1999,ok,
4 GDI,table1 body ward,0.54,0.5402,ok,
4 GDI,table1 body kmedoids,0.526,0.5265,ok,
4 GDI,table1 trunk complete,0.21,0.2104,ok,
4 GDI,table1 trunk ward,0.553,0.5532,ok,
4 GDI,table1 trunk kmedoids,0.582,0.5824,ok,
4 GDI,table2 body ward,0.738,0.7378,ok,
4 GDI,table2 body kmeans,0.73,0.7303,ok,
4 GDI,table2 body kmedoids,0.737,0.7371,ok,
4 GDI,table2 trunk ward,0.765,0.7651,ok,
4 GDI,table2 trunk kmeans,0.767,0.7673,ok,
4 GDI,table2 trunk kmedoids,0.827,0.8273,ok,
4 GDI,curve wasserstein_body complete (29 values),2022 run,max diff 0.0e+00,ok,
4 GDI,curve wasserstein_body ward (29 values),2022 run,max diff 0.0e+00,ok,
4 GDI,curve wasserstein_body kmedoids (29 values),2022 run,max diff 0.0e+00,ok,
4 GDI,curve silhouette_body ward (29 values),2022 run,max diff 0.0e+00,ok,
4 GDI,curve silhouette_body kmeans (29 values),2022 run,max diff 0.0e+00,ok,
4 GDI,curve silhouette_body kmedoids (29 values),2022 run,max diff 0.0e+00,ok,
4 GDI,curve wasserstein_trunk complete (29 values),2022 run,max diff 0.0e+00,ok,
4 GDI,curve wasserstein_trunk ward (29 values),2022 run,max diff 0.0e+00,ok,
4 GDI,curve wasserstein_trunk kmedoids (29 values),2022 run,max diff 0.0e+00,ok,
4 GDI,curve silhouette_trunk ward (29 values),2022 run,max diff 0.0e+00,ok,
4 GDI,curve silhouette_trunk kmeans (29 values),2022 run,max diff 0.0e+00,ok,
4 GDI,curve silhouette_trunk kmedoids (29 values),2022 run,max diff 0.0e+00,ok,
5 morphotypes,male C1 size,2,2,ok,
5 morphotypes,male C2 size,4,4,ok,
5 morphotypes,male C3 size,50,50,ok,
5 morphotypes,male C4 size,311,311,ok,
5 morphotypes,male C5 size,125,125,ok,
5 morphotypes,male C6 size,273,273,ok,
5 morphotypes,male C7 size,415,415,ok,
5 morphotypes,male C8 size,332,332,ok,
5 morphotypes,male C1 proportion_pct,0.1,0.13,ok,
5 morphotypes,male C2 proportion_pct,0.3,0.26,ok,
5 morphotypes,male C3 proportion_pct,3,3.31,ok,
5 morphotypes,male C4 proportion_pct,21,20.57,ok,
5 morphotypes,male C5 proportion_pct,8,8.27,ok,
5 morphotypes,male C6 proportion_pct,18,18.06,ok,
5 morphotypes,male C7 proportion_pct,27,27.45,ok,
5 morphotypes,male C8 proportion_pct,22,21.96,ok,
5 morphotypes,male C1 mean_distance,79.6,79.62,ok,
5 morphotypes,male C2 mean_distance,39.4,39.42,ok,
5 morphotypes,male C3 mean_distance,28.6,28.64,ok,
5 morphotypes,male C4 mean_distance,17.4,17.36,ok,
5 morphotypes,male C5 mean_distance,20.3,20.31,ok,
5 morphotypes,male C6 mean_distance,16.3,16.32,ok,
5 morphotypes,male C7 mean_distance,18.9,18.86,ok,
5 morphotypes,male C8 mean_distance,19.4,19.38,ok,
5 morphotypes,male C1 diameter,79.6,79.62,ok,
5 morphotypes,male C2 diameter,53.9,53.92,ok,
5 morphotypes,male C3 diameter,62,62.04,ok,
5 morphotypes,male C4 diameter,49.6,49.59,ok,
5 morphotypes,male C5 diameter,59.2,59.21,ok,
5 morphotypes,male C6 diameter,54.6,54.56,ok,
5 morphotypes,male C7 diameter,67.1,67.1,ok,
5 morphotypes,male C8 diameter,69.4,69.44,ok,
5 morphotypes,male C1 distance_to_mean,39.8,39.81,ok,
5 morphotypes,male C2 distance_to_mean,24.4,24.38,ok,
5 morphotypes,male C3 distance_to_mean,19.6,19.61,ok,
5 morphotypes,male C4 distance_to_mean,12.1,12.12,ok,
5 morphotypes,male C5 distance_to_mean,14.2,14.17,ok,
5 morphotypes,male C6 distance_to_mean,11.5,11.5,ok,
5 morphotypes,male C7 distance_to_mean,13.1,13.07,ok,
5 morphotypes,male C8 distance_to_mean,13.6,13.63,ok,
5 morphotypes,male C1 distance_mean_medoid,39.8,39.81,ok,
5 morphotypes,male C2 distance_mean_medoid,20.1,20.12,ok,
5 morphotypes,male C3 distance_mean_medoid,9,9.04,ok,
5 morphotypes,male C4 distance_mean_medoid,3.4,3.37,ok,
5 morphotypes,male C5 distance_mean_medoid,5.9,5.91,ok,
5 morphotypes,male C6 distance_mean_medoid,6.9,6.91,ok,
5 morphotypes,male C7 distance_mean_medoid,5.1,5.11,ok,
5 morphotypes,male C8 distance_mean_medoid,6.1,6.09,ok,
5 morphotypes,male C1 medoid,,SPRING0517,ok,
5 morphotypes,male C2 medoid,SPRING2864,SPRING2864,ok,
5 morphotypes,male C3 medoid,SPRING1502,SPRING1502,ok,
5 morphotypes,male C4 medoid,SPRING2055,SPRING2055,ok,
5 morphotypes,male C5 medoid,SPRING2640,SPRING2640,ok,
5 morphotypes,male C6 medoid,SPRING4286,SPRING4286,ok,
5 morphotypes,male C7 medoid,SPRING2982,SPRING2982,ok,
5 morphotypes,male C8 medoid,SPRING4505,SPRING4505,ok,
5 morphotypes,male davies_bouldin has a local optimum at k = 8,8,8 12 15 18,ok,
5 morphotypes,male dunn has a local optimum at k = 8,8,8 12 17 19,ok,
5 morphotypes,male C1 members,SPRING0517 SPRING0553,SPRING0517 SPRING0553,ok,
5 morphotypes,female C1 size,306,306,ok,
5 morphotypes,female C2 size,263,263,ok,
5 morphotypes,female C3 size,403,403,ok,
5 morphotypes,female C4 size,107,107,ok,
5 morphotypes,female C5 size,122,122,ok,
5 morphotypes,female C6 size,112,112,ok,
5 morphotypes,female C7 size,214,214,ok,
5 morphotypes,female C1 proportion_pct,20,20.04,ok,
5 morphotypes,female C2 proportion_pct,17,17.22,ok,
5 morphotypes,female C3 proportion_pct,27,26.39,known discrepancy,The paper reports 27% for C3 (403 women). The original notebook divided by 1513 instead of 1527 (the 1531 female scans minus 4 anomalies); 403/1527 = 26.4%.
5 morphotypes,female C4 proportion_pct,7,7.01,ok,
5 morphotypes,female C5 proportion_pct,8,7.99,ok,
5 morphotypes,female C6 proportion_pct,7,7.33,ok,
5 morphotypes,female C7 proportion_pct,14,14.01,ok,
5 morphotypes,female C1 mean_distance,14.2,14.18,ok,
5 morphotypes,female C2 mean_distance,12.7,12.71,ok,
5 morphotypes,female C3 mean_distance,14.1,14.14,ok,
5 morphotypes,female C4 mean_distance,14.3,14.29,ok,
5 morphotypes,female C5 mean_distance,14,13.98,ok,
5 morphotypes,female C6 mean_distance,19,18.95,ok,
5 morphotypes,female C7 mean_distance,21.3,21.27,ok,
5 morphotypes,female C1 diameter,36.6,36.63,ok,
5 morphotypes,female C2 diameter,32,32.04,ok,
5 morphotypes,female C3 diameter,32.1,32.07,ok,
5 morphotypes,female C4 diameter,31.9,31.89,ok,
5 morphotypes,female C5 diameter,38.2,38.18,ok,
5 morphotypes,female C6 diameter,59.3,59.34,ok,
5 morphotypes,female C7 diameter,62.4,62.44,ok,
5 morphotypes,female C1 distance_to_mean,10.1,10.07,ok,
5 morphotypes,female C2 distance_to_mean,9,9.04,ok,
5 morphotypes,female C3 distance_to_mean,10.1,10.1,ok,
5 morphotypes,female C4 distance_to_mean,10.1,10.15,ok,
5 morphotypes,female C5 distance_to_mean,9.9,9.92,ok,
5 morphotypes,female C6 distance_to_mean,13.3,13.34,ok,
5 morphotypes,female C7 distance_to_mean,14.8,14.85,ok,
