representation,method,k,gdi
wasserstein_body,complete,2,0.006561679790026166
wasserstein_body,complete,3,0.049212598425196825
wasserstein_body,complete,4,0.049212598425196825
wasserstein_body,complete,5,0.04986876640419944
wasserstein_body,complete,6,0.04986876640419947
wasserstein_body,complete,7,0.05118110236220472
wasserstein_body,complete,8,0.05118110236220472
wasserstein_body,complete,9,0.09120734908136482
wasserstein_body,complete,10,0.09120734908136482
wasserstein_body,complete,11,0.09120734908136482
wasserstein_body,complete,12,0.0912073490813648
wasserstein_body,complete,13,0.09776902887139104
wasserstein_body,complete,14,0.09776902887139104
wasserstein_body,complete,15,0.09776902887139109
wasserstein_body,complete,16,0.09776902887139109
wasserstein_body,complete,17,0.09776902887139109
wasserstein_body,complete,18,0.09776902887139112
wasserstein_body,complete,19,0.11679790026246722
wasserstein_body,complete,20,0.33727034120734906
wasserstein_body,complete,21,0.33727034120734906
wasserstein_body,complete,22,0.35236220472440943
wasserstein_body,complete,23,0.4035433070866142
wasserstein_body,complete,24,0.4035433070866142
wasserstein_body,complete,25,0.4035433070866142
wasserstein_body,complete,26,0.43700787401574803
wasserstein_body,complete,27,0.43700787401574803
wasserstein_body,complete,28,0.43700787401574803
wasserstein_body,complete,29,0.43700787401574803
wasserstein_body,complete,30,0.43700787401574803
wasserstein_body,ward,2,0.07217847769028878
wasserstein_body,ward,3,0.07217847769028878
wasserstein_body,ward,4,0.20669291338582677
wasserstein_body,ward,5,0.20669291338582677
wasserstein_body,ward,6,0.20669291338582677
wasserstein_body,ward,7,0.20669291338582677
wasserstein_body,ward,8,0.33989501312335957
wasserstein_body,ward,9,0.34120734908136485
wasserstein_body,ward,10,0.4520997375328084
wasserstein_body,ward,11,0.4520997375328084
wasserstein_body,ward,12,0.5518372703412073
wasserstein_body,ward,13,0.6266404199475065
wasserstein_body,ward,14,0.6377952755905512
wasserstein_body,ward,15,0.6896325459317585
wasserstein_body,ward,16,0.6896325459317585
wasserstein_body,ward,17,0.6896325459317585
wasserstein_body,ward,18,0.6896325459317585
wasserstein_body,ward,19,0.708005249343832
wasserstein_body,ward,20,0.708005249343832
wasserstein_body,ward,21,0.708005249343832
wasserstein_body,ward,22,0.708005249343832
wasserstein_body,ward,23,0.708005249343832
wasserstein_body,ward,24,0.708005249343832
wasserstein_body,ward,25,0.708005249343832
wasserstein_body,ward,26,0.7158792650918635
wasserstein_body,ward,27,0.7158792650918635
wasserstein_body,ward,28,0.7158792650918635
wasserstein_body,ward,29,0.7158792650918635
wasserstein_body,ward,30,0.7158792650918635
wasserstein_body,kmedoids,2,0.0045931758530183735
wasserstein_body,kmedoids,3,0.09514435695538058
wasserstein_body,kmedoids,4,0.1345144356955381
wasserstein_body,kmedoids,5,0.1738845144356955
wasserstein_body,kmedoids,6,0.1738845144356955
wasserstein_body,kmedoids,7,0.16666666666666666
wasserstein_body,kmedoids,8,0.4652230971128609
wasserstein_body,kmedoids,9,0.46916010498687666
wasserstein_body,kmedoids,10,0.5931758530183727
wasserstein_body,kmedoids,11,0.5688976377952756
wasserstein_body,kmedoids,12,0.5807086614173228
wasserstein_body,kmedoids,13,0.6725721784776902
wasserstein_body,kmedoids,14,0.5872703412073491
wasserstein_body,kmedoids,15,0.5866141732283464
wasserstein_body,kmedoids,16,0.5984251968503937
wasserstein_body,kmedoids,17,0.6292650918635171
wasserstein_body,kmedoids,18,0.6108923884514436
wasserstein_body,kmedoids,19,0.6089238845144357
wasserstein_body,kmedoids,20,0.6089238845144357
wasserstein_body,kmedoids,21,0.6922572178477691
wasserstein_body,kmedoids,22,0.7145669291338582
wasserstein_body,kmedoids,23,0.6653543307086615
wasserstein_body,kmedoids,24,0.6502624671916011
wasserstein_body,kmedoids,25,0.6601049868766404
wasserstein_body,kmedoids,26,0.7276902887139107
wasserstein_body,kmedoids,27,0.7020997375328084
wasserstein_body,kmedoids,28,0.702755905511811
wasserstein_body,kmedoids,29,0.7178477690288714
wasserstein_body,kmedoids,30,0.7053805774278216
silhouette_body,ward,2,0.5721784776902887
silhouette_body,ward,3,0.5741469816272966
silhouette_body,ward,4,0.5741469816272966
silhouette_body,ward,5,0.755249343832021
silhouette_body,ward,6,0.755249343832021
silhouette_body,ward,7,0.755249343832021
silhouette_body,ward,8,0.755249343832021
silhouette_body,ward,9,0.755249343832021
silhouette_body,ward,10,0.755249343832021
silhouette_body,ward,11,0.755249343832021
silhouette_body,ward,12,0.755249343832021
silhouette_body,ward,13,0.755249343832021
silhouette_body,ward,14,0.755249343832021
silhouette_body,ward,15,0.755249343832021
silhouette_body,ward,16,0.755249343832021
silhouette_body,ward,17,0.755249343832021
silhouette_body,ward,18,0.755249343832021
silhouette_body,ward,19,0.755249343832021
silhouette_body,ward,20,0.755249343832021
silhouette_body,ward,21,0.755249343832021
silhouette_body,ward,22,0.755249343832021
silhouette_body,ward,23,0.755249343832021
silhouette_body,ward,24,0.7559055118110236
silhouette_body,ward,25,0.7559055118110236
silhouette_body,ward,26,0.7559055118110236
silhouette_body,ward,27,0.7644356955380578
silhouette_body,ward,28,0.7644356955380578
silhouette_body,ward,29,0.7644356955380578
silhouette_body,ward,30,0.7650918635170604
silhouette_body,kmeans,2,0.4461942257217847
silhouette_body,kmeans,3,0.6430446194225722
silhouette_body,kmeans,4,0.5826771653543307
silhouette_body,kmeans,5,0.7322834645669292
silhouette_body,kmeans,6,0.7644356955380578
silhouette_body,kmeans,7,0.765748031496063
silhouette_body,kmeans,8,0.7677165354330708
silhouette_body,kmeans,9,0.7644356955380578
silhouette_body,kmeans,10,0.7769028871391076
silhouette_body,kmeans,11,0.7788713910761155
silhouette_body,kmeans,12,0.723753280839895
silhouette_body,kmeans,13,0.7696850393700787
silhouette_body,kmeans,14,0.7454068241469817
silhouette_body,kmeans,15,0.7401574803149606
silhouette_body,kmeans,16,0.7086614173228346
silhouette_body,kmeans,17,0.7349081364829396
silhouette_body,kmeans,18,0.7598425196850394
silhouette_body,kmeans,19,0.7473753280839895
silhouette_body,kmeans,20,0.7335958005249343
