scan,cluster
SPRING0014,C3
SPRING0015,C3
SPRING0017,C7
SPRING0052,C2
SPRING0053,C6
SPRING0054,C4
SPRING0055,C4
SPRING0056,C4
SPRING0060,C4
SPRING0064,C1
SPRING0065,C3
SPRING0067,C5
SPRING0069,C1
SPRING0070,C3
SPRING0072,C2
SPRING0074,C1
SPRING0075,C1
SPRING0076,C4
SPRING0078,C1
SPRING0083,C2
SPRING0084,C3
SPRING0086,C7
SPRING0087,C4
SPRING0089,C1
SPRING0090,C1
SPRING0092,C7
SPRING0093,C3
SPRING0094,C7
SPRING0095,C1
SPRING0096,C5
SPRING0097,C3
SPRING0099,C1
SPRING0104,C1
SPRING0113,C7
SPRING0114,C5
SPRING0115,C1
SPRING0116,C2
SPRING0118,C5
SPRING0119,C3
SPRING0121,C5
SPRING0125,C6
SPRING0127,C5
SPRING0134,C3
SPRING0136,C2
SPRING0143,C1
SPRING0158,C2
SPRING0160,C2
SPRING0161,C3
SPRING0163,C5
SPRING0166,C3
SPRING0174,C4
SPRING0175,C4
SPRING0176,C7
SPRING0182,C1
SPRING0183,C1
SPRING0185,C2
SPRING0189,C1
SPRING0192,C4
SPRING0195,C1
SPRING0203,C2
SPRING0208,C5
SPRING0210,C1
SPRING0213,C3
SPRING0214,C1
SPRING0216,C3
SPRING0219,C1
SPRING0222,C1
SPRING0224,C2
SPRING0225,C6
SPRING0226,C7
SPRING0231,C3
SPRING0233,C3
SPRING0235,C3
SPRING0236,C4
SPRING0239,C5
SPRING0241,C3
SPRING0243,C1
SPRING0244,C2
SPRING0249,C3
SPRING0252,C3
SPRING0254,C3
SPRING0256,C1
SPRING0257,C4
SPRING0258,C3
SPRING0260,C1
SPRING0265,C1
SPRING0268,C5
SPRING0269,C7
SPRING0270,C6
SPRING0277,C2
SPRING0283,C2
SPRING0286,C3
SPRING0288,C3
SPRING0290,C3
SPRING0298,C3
SPRING0304,C1
SPRING0307,C3
SPRING0309,C5
SPRING0310,C1
SPRING0317,C4
SPRING0321,C5
SPRING0327,C7
SPRING0377,C4
SPRING0378,C3
SPRING0379,C5
SPRING0380,C6
SPRING0381,C3
SPRING0382,C2
SPRING0383,C1
SPRING0384,C5
SPRING0385,C3
SPRING0386,C3
SPRING0387,C3
SPRING0392,C2
SPRING0393,C5
SPRING0399,C4
SPRING0400,C3
SPRING0401,C2
SPRING0402,C2
SPRING0404,C3
SPRING0407,C5
SPRING0408,C1
SPRING0409,C7
SPRING0412,C1
SPRING0413,C3
SPRING0416,C1
SPRING0417,C4
SPRING0418,C5
SPRING0434,C3
SPRING0438,C7
SPRING0439,C1
SPRING0452,C6
SPRING0461,C5
SPRING0464,C1
SPRING0465,C6
SPRING0468,C2
SPRING0469,C3
SPRING0472,C3
SPRING0473,C2
SPRING0475,C2
SPRING0476,C4
SPRING0480,C2
SPRING0482,C2
SPRING0483,C1
SPRING0484,C3
SPRING0489,C7
SPRING0490,C1
SPRING0499,C3
SPRING0503,C3
SPRING0519,C2
SPRING0522,C1
SPRING0530,C1
SPRING0544,C3
SPRING0556,C3
SPRING0569,C7
SPRING0573,C6
SPRING0581,C2
SPRING0583,C6
SPRING0586,C1
SPRING0589,C2
SPRING0590,C3
SPRING0593,C7
SPRING0594,C1
SPRING0598,C3
SPRING0600,C5
SPRING0607,C5
SPRING0609,C2
SPRING0614,C1
SPRING0615,C7
SPRING0616,C1
SPRING0621,C3
SPRING0622,C4
SPRING0624,C3
SPRING0626,C2
SPRING0627,C1
SPRING0628,C3
SPRING0630,C6
SPRING0635,C7
SPRING0640,C5
SPRING0642,C1
SPRING0644,C3
SPRING0646,C1
SPRING0649,C2
SPRING0651,C1
SPRING0655,C3
SPRING0656,C2
SPRING0662,C1
SPRING0663,C3
SPRING0668,C5
SPRING1032,C1
SPRING1035,C5
SPRING1038,C5
SPRING1039,C1
SPRING1047,C3
SPRING1050,C7
SPRING1056,C3
SPRING1057,C1
SPRING1058,C3
SPRING1060,C7
SPRING1061,C5
SPRING1062,C1
SPRING1063,C7
SPRING1068,C1
SPRING1070,C3
SPRING1074,C1
SPRING1076,C5
SPRING1077,C5
SPRING1078,C3
SPRING1079,C3
SPRING1081,C7
SPRING1083,C5
SPRING1084,C3
SPRING1086,C3
SPRING1087,C7
SPRING1088,C2
SPRING1089,C3
SPRING1095,C4
SPRING1096,C3
SPRING1098,C3
SPRING1100,C2
SPRING1101,C5
SPRING1102,C4
SPRING1105,C4
SPRING1109,C1
SPRING1116,C2
SPRING1118,C3
SPRING1121,C4
SPRING1123,C7
SPRING1124,C5
SPRING1125,C2
SPRING1127,C2
SPRING1128,C7
SPRING1130,C7
SPRING1132,C2
SPRING1136,C1
SPRING1137,C1
SPRING1138,C2
SPRING1139,C3
SPRING1140,C3
SPRING1141,C6
SPRING1142,C1
SPRING1144,C1
SPRING1148,C3
SPRING1150,C1
SPRING1152,C1
SPRING1157,C2
SPRING1158,C1
SPRING1160,C6
SPRING1162,C3
SPRING1163,C2
SPRING1164,C3
SPRING1166,C7
SPRING1167,C2
SPRING1168,C2
SPRING1171,C1
SPRING1174,C7
SPRING1175,C4
SPRING1177,C7
SPRING1178,C7
SPRING1180,C7
SPRING1182,C7
SPRING1183,C6
SPRING1184,C7
SPRING1194,C1
SPRING1195,C6
SPRING1197,C5
SPRING1198,C3
SPRING1200,C1
SPRING1201,C2
SPRING1202,C7
SPRING1207,C3
SPRING1208,C7
SPRING1209,C7
SPRING1210,C6
SPRING1213,C6
SPRING1214,C3
SPRING1215,C1
SPRING1304,C7
SPRING1305,C6
SPRING1307,C1
SPRING1309,C2
SPRING1310,C2
SPRING1311,C4
SPRING1312,C7
SPRING1313,C4
SPRING1314,C3
SPRING1315,C1
SPRING1316,C7
SPRING1319,C3
SPRING1321,C7
SPRING1323,C1
SPRING1324,C6
SPRING1331,C3
SPRING1336,C3
SPRING1341,C5
SPRING1342,C3
SPRING1345,C2
SPRING1350,C2
SPRING1356,C3
SPRING1359,C5
