scan,cluster
SPRING0001,C3
SPRING0002,C4
SPRING0007,C7
SPRING0008,C4
SPRING0009,C5
SPRING0012,C7
SPRING0013,C6
SPRING0016,C6
SPRING0024,C4
SPRING0026,C8
SPRING0027,C8
SPRING0028,C8
SPRING0029,C5
SPRING0030,C8
SPRING0047,C8
SPRING0048,C4
SPRING0049,C4
SPRING0050,C8
SPRING0051,C5
SPRING0057,C5
SPRING0058,C8
SPRING0062,C6
SPRING0063,C3
SPRING0071,C7
SPRING0073,C5
SPRING0079,C8
SPRING0080,C4
SPRING0081,C8
SPRING0082,C4
SPRING0085,C8
SPRING0088,C4
SPRING0098,C4
SPRING0100,C7
SPRING0103,C7
SPRING0105,C7
SPRING0106,C4
SPRING0107,C4
SPRING0108,C8
SPRING0112,C5
SPRING0117,C6
SPRING0122,C3
SPRING0123,C4
SPRING0126,C5
SPRING0128,C7
SPRING0129,C4
SPRING0130,C4
SPRING0132,C7
SPRING0133,C5
SPRING0135,C4
SPRING0137,C8
SPRING0138,C6
SPRING0139,C7
SPRING0140,C8
SPRING0142,C6
SPRING0144,C8
SPRING0145,C5
SPRING0146,C6
SPRING0147,C7
SPRING0148,C8
SPRING0149,C8
SPRING0150,C7
SPRING0151,C7
SPRING0152,C6
SPRING0154,C4
SPRING0157,C4
SPRING0159,C8
SPRING0164,C4
SPRING0165,C8
SPRING0167,C6
SPRING0168,C7
SPRING0169,C7
SPRING0170,C7
SPRING0172,C7
SPRING0173,C7
SPRING0177,C6
SPRING0178,C8
SPRING0179,C8
SPRING0180,C5
SPRING0184,C4
SPRING0186,C6
SPRING0187,C7
SPRING0188,C4
SPRING0190,C8
SPRING0193,C8
SPRING0196,C3
SPRING0197,C4
SPRING0198,C4
SPRING0199,C7
SPRING0201,C7
SPRING0204,C6
SPRING0205,C7
SPRING0206,C8
SPRING0207,C6
SPRING0209,C5
SPRING0211,C8
SPRING0212,C8
SPRING0215,C4
SPRING0217,C7
SPRING0218,C8
SPRING0220,C7
SPRING0223,C8
SPRING0227,C6
SPRING0228,C6
SPRING0229,C6
SPRING0232,C6
SPRING0234,C6
SPRING0237,C7
SPRING0238,C6
SPRING0240,C6
SPRING0242,C7
SPRING0245,C8
SPRING0246,C7
SPRING0247,C4
SPRING0250,C7
SPRING0251,C8
SPRING0253,C7
SPRING0255,C8
SPRING0259,C4
SPRING0261,C6
SPRING0263,C7
SPRING0264,C6
SPRING0266,C7
SPRING0267,C7
SPRING0271,C8
SPRING0272,C7
SPRING0273,C6
SPRING0274,C4
